"","X","fips","year","state","county","combined_overdose_mortality_rate","combined_overdose_deaths","child_mortality_rate","infant_mortality_rate","age_adjusted_mortality","combined_household_income"
"1",1,41000,2014,"Oregon","year_state_total",12.291996729,3194,NA,NA,NA,49090
"2",2,41001,2014,"Oregon","Baker",16.792611251,19,NA,NA,NA,37025
"3",3,41003,2014,"Oregon","Benton",5.3275040128,31,NA,NA,NA,51890
"4",4,41005,2014,"Oregon","Clackamas",10.247171118,263,NA,NA,NA,64231
"5",5,41007,2014,"Oregon","Clatsop",19.886839981,51,NA,NA,NA,43202
"6",6,41009,2014,"Oregon","Columbia",10.64512409,36,NA,NA,NA,53250
"7",7,41011,2014,"Oregon","Coos",15.55234491,69,NA,NA,NA,36057
"8",8,41013,2014,"Oregon","Crook",7.3651507847,11,NA,NA,NA,41232
"9",9,41015,2014,"Oregon","Curry",15.256887849,24,NA,NA,NA,34854
"10",10,41017,2014,"Oregon","Deschutes",9.5510710093,100,NA,NA,NA,48591
"11",11,41019,2014,"Oregon","Douglas",11.136066634,83,NA,NA,NA,39399
"12",12,41021,2014,"Oregon","Gilliam",NA,NA,NA,NA,NA,49735
"13",13,41023,2014,"Oregon","Grant",NA,NA,NA,NA,NA,37177
"14",14,41025,2014,"Oregon","Harney",NA,NA,NA,NA,NA,35848
"15",15,41027,2014,"Oregon","Hood River",NA,NA,NA,NA,NA,53023
"16",16,41029,2014,"Oregon","Jackson",15.400503035,214,NA,NA,NA,44392
"17",17,41031,2014,"Oregon","Jefferson",8.0391237355,12,NA,NA,NA,41426
"18",18,41033,2014,"Oregon","Josephine",13.656585889,78,NA,NA,NA,35109
"19",19,41035,2014,"Oregon","Klamath",13.174177748,61,NA,NA,NA,38193
"20",20,41037,2014,"Oregon","Lake",20.158703979,11,NA,NA,NA,38668
"21",21,41039,2014,"Oregon","Lane",14.685882291,353,NA,NA,NA,41123
"22",22,41041,2014,"Oregon","Lincoln",20.657988225,66,NA,NA,NA,39738
"23",23,41043,2014,"Oregon","Linn",10.937760328,86,NA,NA,NA,43837
"24",24,41045,2014,"Oregon","Malheur",5.4757265605,12,NA,NA,NA,33994
"25",25,41047,2014,"Oregon","Marion",10.488009408,225,NA,NA,NA,45631
"26",26,41049,2014,"Oregon","Morrow",NA,NA,NA,NA,NA,50246
"27",27,41051,2014,"Oregon","Multnomah",18.18553239,892,NA,NA,NA,51580
"28",28,41053,2014,"Oregon","Polk",9.1332360445,46,NA,NA,NA,49636
"29",29,41055,2014,"Oregon","Sherman",NA,NA,NA,NA,NA,52251
"30",30,41057,2014,"Oregon","Tillamook",12.518706931,22,NA,NA,NA,43558
"31",31,41059,2014,"Oregon","Umatilla",9.5958791457,50,NA,NA,NA,46725
"32",32,41061,2014,"Oregon","Union",9.6587616331,17,NA,NA,NA,41504
"33",33,41063,2014,"Oregon","Wallowa",NA,NA,NA,NA,NA,40554
"34",34,41065,2014,"Oregon","Wasco",8.1791466813,14,NA,NA,NA,41324
"35",35,41067,2014,"Oregon","Washington",7.5163163181,267,NA,NA,NA,63566
"36",36,41069,2014,"Oregon","Wheeler",NA,NA,NA,NA,NA,33973
"37",37,41071,2014,"Oregon","Yamhill",9.3268987761,62,NA,NA,NA,49656
"38",38,6000,2014,"California","year_state_total",10.083948924,25663,NA,NA,NA,58322
"39",39,6001,2014,"California","Alameda",10.697443116,1099,NA,NA,NA,70209
"40",40,6003,2014,"California","Alpine",NA,NA,NA,NA,NA,46336
"41",41,6005,2014,"California","Amador",23.958731086,64,NA,NA,NA,51388
"42",42,6007,2014,"California","Butte",27.483347261,418,NA,NA,NA,40748
"43",43,6009,2014,"California","Calaveras",15.943428963,51,NA,NA,NA,50962
"44",44,6011,2014,"California","Colusa",NA,NA,NA,NA,NA,49871
"45",45,6013,2014,"California","Contra Costa",9.5336096299,678,NA,NA,NA,74208
"46",46,6015,2014,"California","Del Norte",16.115873128,32,NA,NA,NA,37305
"47",47,6017,2014,"California","El Dorado",18.441180687,229,NA,NA,NA,68446
"48",48,6019,2014,"California","Fresno",10.884708467,683,NA,NA,NA,41563
"49",49,6021,2014,"California","Glenn",16.479300454,32,NA,NA,NA,41201
"50",50,6023,2014,"California","Humboldt",32.243558567,299,NA,NA,NA,39837
"51",51,6025,2014,"California","Imperial",8.7113629276,100,NA,NA,NA,38185
"52",52,6027,2014,"California","Inyo",NA,NA,NA,NA,NA,45748
"53",53,6029,2014,"California","Kern",14.624319184,815,NA,NA,NA,45599
"54",54,6031,2014,"California","Kings",7.565839564,79,NA,NA,NA,45464
"55",55,6033,2014,"California","Lake",32.985940857,148,NA,NA,NA,35437
"56",56,6035,2014,"California","Lassen",27.409365003,67,NA,NA,NA,47480
"57",57,6037,2014,"California","Los Angeles",7.2075259268,4927,NA,NA,NA,52929
"58",58,6039,2014,"California","Madera",8.2712497268,84,NA,NA,NA,42054
"59",59,6041,2014,"California","Marin",13.002232917,225,NA,NA,NA,88654
"60",60,6043,2014,"California","Mariposa",20.428046136,26,NA,NA,NA,43166
"61",61,6045,2014,"California","Mendocino",18.257158599,112,NA,NA,NA,41088
"62",62,6047,2014,"California","Merced",8.0819976389,140,NA,NA,NA,42552
"63",63,6049,2014,"California","Modoc",26.787707419,18,NA,NA,NA,36724
"64",64,6051,2014,"California","Mono",NA,NA,NA,NA,NA,53067
"65",65,6053,2014,"California","Monterey",9.7914697698,279,NA,NA,NA,56038
"66",66,6055,2014,"California","Napa",8.4887089426,79,NA,NA,NA,65698
"67",67,6057,2014,"California","Nevada",14.021558146,96,NA,NA,NA,54230
"68",68,6059,2014,"California","Orange",9.6180517547,1991,NA,NA,NA,71866
"69",69,6061,2014,"California","Placer",11.801234122,271,NA,NA,NA,69521
"70",70,6063,2014,"California","Plumas",26.38430828,38,NA,NA,NA,46450
"71",71,6065,2014,"California","Riverside",10.054491153,1440,NA,NA,NA,52416
"72",72,6067,2014,"California","Sacramento",16.153188411,1564,NA,NA,NA,52617
"73",73,6069,2014,"California","San Benito",9.1703697493,35,NA,NA,NA,60577
"74",74,6071,2014,"California","San Bernardino",5.1434855735,713,NA,NA,NA,50603
"75",75,6073,2014,"California","San Diego",11.139699509,2336,NA,NA,NA,60235
"76",76,6075,2014,"California","San Francisco",19.616184577,1073,NA,NA,NA,72093
"77",77,6077,2014,"California","San Joaquin",13.932027567,650,NA,NA,NA,50431
"78",78,6079,2014,"California","San Luis Obispo",12.263513605,226,NA,NA,NA,58427
"79",79,6081,2014,"California","San Mateo",7.7752531447,381,NA,NA,NA,81568
"80",80,6083,2014,"California","Santa Barbara",10.536130117,305,NA,NA,NA,60683
"81",81,6085,2014,"California","Santa Clara",6.6337434588,798,NA,NA,NA,91195
"82",82,6087,2014,"California","Santa Cruz",12.866672186,230,NA,NA,NA,65799
"83",83,6089,2014,"California","Shasta",26.721837815,330,NA,NA,NA,44477
"84",84,6091,2014,"California","Sierra",NA,NA,NA,NA,NA,45157
"85",85,6093,2014,"California","Siskiyou",17.282488678,54,NA,NA,NA,36597
"86",86,6095,2014,"California","Solano",9.8369816791,282,NA,NA,NA,61976
"87",87,6097,2014,"California","Sonoma",13.326310771,440,NA,NA,NA,59855
"88",88,6099,2014,"California","Stanislaus",15.705598001,556,NA,NA,NA,46324
"89",89,6101,2014,"California","Sutter",10.74302832,69,NA,NA,NA,46524
"90",90,6103,2014,"California","Tehama",10.625789716,46,NA,NA,NA,38577
"91",91,6105,2014,"California","Trinity",22.085502445,21,NA,NA,NA,35162
