"","fips","year","state","county","combined_ypll_rate","percent_fair_or_poor_health","average_number_of_physically_unhealthy_days","mental_health_provider_rate","average_number_of_mentally_unhealthy_days","smokers","excessive_drinking","unemployed","labor_force","violent_crime_rates","income_ratio","severe_housing_problems"
"1",41000,2014,"Oregon","state_year",6076.43,13.8,NA,NA,NA,16.2,16,171176,1962906,251.19957,NA,19.27044
"2",41001,2014,"Oregon","Baker",10322,11.1,NA,NA,NA,23.2,18.3,744,7451,33.11807,NA,13.55072
"3",41003,2014,"Oregon","Benton",3712.74,11.3,NA,NA,NA,10.8,14,2728,44422,129.8267,NA,21.73588
"4",41005,2014,"Oregon","Clackamas",5100.46,11.8,NA,NA,NA,14.6,16.6,15752,199576,117.73916,NA,18.12284
"5",41007,2014,"Oregon","Clatsop",6584.54,12.6,NA,NA,NA,18.3,15.3,1598,20664,136.59373,NA,20.47341
"6",41009,2014,"Oregon","Columbia",6341.76,16,NA,NA,NA,19.3,16.1,2309,24221,92.01288,NA,14.02359
"7",41011,2014,"Oregon","Coos",8176.08,17.6,NA,NA,NA,26.1,18.2,3012,28165,218.42189,NA,16.11305
"8",41013,2014,"Oregon","Crook",5710.6,15.7,NA,NA,NA,20.7,NA,1246,8846,234.72032,NA,15.93375
"9",41015,2014,"Oregon","Curry",8931.15,20.7,NA,NA,NA,21.3,17.4,1054,9073,133.66502,NA,18.90215
"10",41017,2014,"Oregon","Deschutes",5410.15,8.7,NA,NA,NA,12.3,16.8,8822,78294,298.47207,NA,21.18215
"11",41019,2014,"Oregon","Douglas",7409.62,23,NA,NA,NA,24.1,14.5,5463,44859,113.79827,NA,16.0879
"12",41021,2014,"Oregon","Gilliam",NA,NA,NA,NA,NA,NA,NA,88,1192,36.43651,NA,12.94118
"13",41023,2014,"Oregon","Grant",4605.05,9.7,NA,NA,NA,25.6,21.6,458,3426,18.37391,NA,10.89552
"14",41025,2014,"Oregon","Harney",7726.61,25.3,NA,NA,NA,NA,NA,417,3299,74.19086,NA,13.73134
"15",41027,2014,"Oregon","Hood River",5399.1,14.8,NA,NA,NA,9.6,18.2,1010,14497,70.13575,NA,19.22354
"16",41029,2014,"Oregon","Jackson",6141.43,15.1,NA,NA,NA,18.6,14.2,10871,100207,272.40828,NA,21.52757
"17",41031,2014,"Oregon","Jefferson",10818.71,12.9,NA,NA,NA,16.7,18.6,1151,9459,106.10164,NA,18.92239
"18",41033,2014,"Oregon","Josephine",8311.06,17.2,NA,NA,NA,23.5,13.9,4062,34170,166.64654,NA,23.52513
"19",41035,2014,"Oregon","Klamath",8451.44,17.6,NA,NA,NA,22.6,13.6,3504,30057,248.04349,NA,17.65769
