"","X.1","fips","year","state","county","combined_overdose_mortality_rate","combined_overdose_deaths","child_mortality_rate","infant_mortality_rate","age_adjusted_mortality","combined_household_income","combined_ypll_rate","percent_fair_or_poor_health","average_number_of_physically_unhealthy_days","mental_health_provider_rate","average_number_of_mentally_unhealthy_days","smokers","excessive_drinking","unemployed","labor_force","violent_crime_rates","income_ratio","severe_housing_problems"
"1",273,41000,2016,"Oregon","year_state_total",12.432564777,1467,43.091823863,5.144534765,308.5,51088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",274,41001,2016,"Oregon","Baker",NA,NA,NA,NA,333.5,38966,6276.8,14.5,NA,249.08151,NA,15.9,18.5,576,6742,20.60241,4.6462827487,18.44523
"3",275,41003,2016,"Oregon","Benton",6.1695785792,16,43.909276679,NA,228.7,54089,4753,13,NA,625.60823,NA,14.8,23.2,2341,44024,116.00614,6.4740754061,22.04478
"4",276,41005,2016,"Oregon","Clackamas",10.96743016,128,31.836632594,4.245673371,262.2,65555,5058.2,10.8,NA,200.26736,NA,12.6,20.6,12601,200522,105.7166,4.1382861473,19.05452
"5",277,41007,2016,"Oregon","Clatsop",15.175996929,17,66.858327205,NA,371.9,45132,8468.8,13.4,NA,192.13321,NA,16.7,20.8,1205,18118,102.49888,4.2125536281,22.46906
"6",278,41009,2016,"Oregon","Columbia",13.505392028,20,30.741529611,NA,329.4,57517,6505.4,13,NA,194.10016,NA,16.2,20,1902,22639,144.71489,4.2884208709,15.00525
"7",279,41011,2016,"Oregon","Coos",9.6107127411,18,51.135637278,NA,424.3,39956,8462.9,14.8,NA,214.48579,NA,16.9,17.6,2404,26260,243.64152,4.4181850555,17.18427
"8",280,41013,2016,"Oregon","Crook",NA,NA,NA,NA,303.8,38155,5942.7,14.9,NA,352.41452,NA,17.2,17.1,911,9045,251.7177,4.1183844835,20.35449
"9",281,41015,2016,"Oregon","Curry",NA,NA,NA,NA,426.4,40524,9822.1,13.1,NA,165.65928,NA,15.3,17.6,900,8690,127.69761,4.3476875755,21.26938
"10",282,41017,2016,"Oregon","Deschutes",9.8271425678,49,35.881370668,4.4836116265,257.9,52387,5259.4,12.3,NA,325.14027,NA,14.9,20.5,6384,80907,295.0136,4.4184562075,22.89016
"11",283,41019,2016,"Oregon","Douglas",12.769562347,41,58.342376402,6.1672876783,394,41504,8108.5,16.1,NA,185.09517,NA,17.5,19,4164,44224,116.40332,4.2891955534,17.12454
"12",284,41021,2016,"Oregon","Gilliam",NA,NA,NA,NA,414,51978,NA,11.4,NA,103.51967,NA,13.3,19.3,67,841,35.00788,3.5998106631,12.2905
"13",285,41023,2016,"Oregon","Grant",NA,NA,NA,NA,268.1,41304,5008.8,13.5,NA,139.27577,NA,15.1,17.7,343,3185,13.37375,4.8219530103,13.48148
"14",286,41025,2016,"Oregon","Harney",NA,NA,NA,NA,383,36340,9425.7,15.9,NA,308.7286,NA,17.4,18.3,328,3336,67.1201,3.834787926,14.4427
"15",287,41027,2016,"Oregon","Hood River",NA,NA,NA,NA,277.9,54063,5163.9,14.8,NA,240.3321,NA,14.7,20.5,767,14024,110.60782,3.9332112721,16.69782
"16",288,41029,2016,"Oregon","Jackson",17.11331896,107,36.738315803,4.3864993298,330.9,44835,6653.2,14.7,NA,252.98758,NA,17.8,21.3,8356,97104,297.63309,4.474282422,23.78553
