"","fips","year","state","county","yrs_potential_life_lost_rate","percent_fair_poor_health","phys_unhealthy_days","mentally_unhealthy_days","preventable_hosp_rate","percent_smokers","low_birthweight","excessive_drinking","mental_health_providers","mental_health_providers_ratio","percent_unemployed","violent_crime_rate","income_ratio","eighty_percentile_income","twenty_percentile_income","labor_force","percent_child_poverty"
"1",41000,2018,"Oregon","state_year","6016.4148501",15.82219,3.84761,4.46476,"33.91","16.210885143","6.2899538346",18.53224,"18082","226:1",100296,"244.59185551",4.63538,104157,22470,2055120,17.2
"2",41001,2018,"Oregon","Baker","7917.5788477",13.87871,3.70484,4.14402,"36.97","15.286400992","6.8122270742",18.08994,"82","196:1",449,"216.42769442",4.35109,79947,18374,6972,26.2
"3",41003,2018,"Oregon","Benton","4243.2508202",13.24667,3.73197,4.20109,"22.08","14.028612355","5.3801169591",20.35584,"655","136:1",1837,"119.28871705",6.00611,111023,18485,46888,13
"4",41005,2018,"Oregon","Clackamas","5185.5481668",10.37175,3.19504,4.01815,"28.05","12.987509924","5.9218275924",20.77303,"1047","390:1",9461,"96.305525332",4.11854,128070,31096,213012,10.7
"5",41007,2018,"Oregon","Clatsop","7940.7548167",14.30096,3.68313,4.33304,"49.39","16.129745231","6.6872427984",19.05423,"96","402:1",908,"139.89533011",4.34233,94398,21739,19043,18.5
"6",41009,2018,"Oregon","Columbia","6760.1488039",12.86892,3.52903,4.2518,"43.39","15.294710779","6.0483870968",19.39378,"138","368:1",1460,"102.19445561",4.43776,102459,23088,23494,13.3
"7",41011,2018,"Oregon","Coos","8650.010905",17.21495,4.17017,4.55674,"46.66","19.282711481","6.0975609756",17.1439,"203","314:1",1719,"165.18920387",4.49309,76032,16922,26521,25.5
"8",41013,2018,"Oregon","Crook","7247.7024171",15.49365,3.86516,4.47622,"37.61","15.716879789","7.0707070707",17.29948,"88","256:1",654,"223.66003674",3.9934,78103,19558,9354,22.9
"9",41015,2018,"Oregon","Curry","9809.3011329",15.02976,4.01759,4.35483,"31.68","14.923724568","6.0917721519",15.91875,"74","307:1",624,"105.77677688",4.311,78305,18164,9080,24.5
"10",41017,2018,"Oregon","Deschutes","5103.0120996",13.8214,3.54247,3.98304,"25.5","13.710796688","6.446308173",20.54584,"717","253:1",4408,"213.38608318",4.35454,103625,23797,89943,14.2
"11",41019,2018,"Oregon","Douglas","9290.1280241",15.2707,3.89954,4.48079,"36.31","15.855366234","6.7414248021",16.65014,"280","387:1",2932,"171.19895866",4.34147,81320,18731,45891,23.2
"12",41021,2018,"Oregon","Gilliam",NA,14.3053,3.78468,4.19557,"56.73","14.727896872","8.3969465649",16.83397,"1","1854:1",50,"16.911889058",3.89892,79733,20450,842,20.5
"13",41023,2018,"Oregon","Grant","5322.5469682",14.17934,3.74439,4.35585,"35.19","15.077294789","6.0465116279",16.02803,"19","377:1",243,"22.700444929",4.60887,81660,17718,3131,24.6
"14",41025,2018,"Oregon","Harney","9283.7129003",14.60772,3.86801,4.3384,"27.32","15.645506281","6.4347826087",17.29352,"36","203:1",217,"64.501266989",4.0015,77321,19323,3442,23.6
"15",41027,2018,"Oregon","Hood River","4687.7403454",15.71637,3.78711,4.1136,"30.83","15.249233836","5.3958648512",20.41331,"77","302:1",587,"167.46474082",3.67398,102291,27842,13975,16.8
"16",41029,2018,"Oregon","Jackson","6895.5629161",13.3009,3.67841,4.3652,"34.04","17.689161379","6.4353389935",20.68607,"748","289:1",5891,"326.4428293",4.63664,89923,19394,101776,19
"17",41031,2018,"Oregon","Jefferson","9097.5642863",19.05374,4.36938,4.73423,"42.13","18.58224696","7.0787637089",17.41908,"31","745:1",659,"132.60758947",3.57914,82764,23124,9859,24.7
"18",41033,2018,"Oregon","Josephine","8828.7222145",17.09299,4.24822,4.90013,"41.64","18.333557628","6.2146892655",16.58148,"586","147:1",2260,"219.15555254",4.59013,76164,16593,34465,24.3
"19",41035,2018,"Oregon","Klamath","8372.5874015",17.18834,4.3049,4.44862,"37.8","17.57638561","8.5857680588",18.35933,"261","255:1",2019,"219.58091124",4.45164,81100,18218,29426,27.7
"20",41037,2018,"Oregon","Lake","6913.1094221",17.1515,4.13127,4.50212,"51.89","17.262260924","8.2551594747",16.50792,"12","653:1",224,NA,3.92373,66056,16835,3482,25.4
"21",41039,2018,"Oregon","Lane","6519.3998874",13.90718,3.87629,4.15095,"31.86","15.209043782","6.6239316239",19.28401,"2782","133:1",9230,"246.24321914",4.85878,90315,18588,179242,19.9
"22",41041,2018,"Oregon","Lincoln","9002.5436619",16.56633,3.9554,4.49184,"36.49","16.99791888","7.413509061",17.75091,"162","295:1",1192,"326.86077168",4.38548,80706,18403,20986,30
