"data_as_of","year","month","st_abbrev","state","county","fips","statefips","countyfips","code2013","provisional_drug_overdose_deaths","footnote","percentage_of_records_pending_investigation","historicaldatacompletenessnote","monthendingdate","start_date","end_date"
"10/8/2023",2020,1,"OR","Oregon","Baker",41001,41,1,6,"0","",0,"","1/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,2,"OR","Oregon","Baker",41001,41,1,6,"0","",0,"","2/29/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,3,"OR","Oregon","Baker",41001,41,1,6,"0","",0,"","3/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,4,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","4/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,5,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","5/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,6,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","6/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,7,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","7/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,8,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","8/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,9,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","9/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,10,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","10/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,11,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","11/30/2020","1/31/2020","3/31/2023"
"10/8/2023",2020,12,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","12/31/2020","1/31/2020","3/31/2023"
"10/8/2023",2022,11,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","11/30/2022","1/31/2020","3/31/2023"
"10/8/2023",2022,12,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","12/31/2022","1/31/2020","3/31/2023"
"10/8/2023",2023,1,"OR","Oregon","Baker",41001,41,1,6,"","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",0,"","1/31/2023","1/31/2020","3/31/2023"
"10/8/2023",2023,2,"OR","Oregon","Baker",41001,41,1,6,"0","",0,"","2/28/2023","1/31/2020","3/31/2023"
