"st_abbrev","geo","state_symbol","data_symbol","start_year","start_month","end_year","end_month","all_percentagechange","opioid_percentagechange","heroin_percentagechange","stimulant_percentagechange","all_issignificant","opioid_issignificant","heroin_issignificant","stimulant_issignificant","all_significance","opioid_significance","heroin_significance","stimulant_significance","sex","age_range","state_count","comparison_type"
"US","US-US","","","2018","1","2018","2","2.69","4.53","4.7","11.93","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","36","1Month2MonthUS"
"US","US-US","","","2018","2","2018","3","8.44","9.67","7.89","16.61","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","36","1Month2MonthUS"
"US","US-US","","","2018","3","2018","4","0.96","0.84","-1.52","-1.04","FALSE","FALSE","FALSE","FALSE","No Significant Change","No Significant Change","No Significant Change","No Significant Change","all","all","37","1Month2MonthUS"
"US","US-US","","","2018","4","2018","5","4.25","7.15","11.49","4.23","TRUE","TRUE","TRUE","FALSE","Significant Increase","Significant Increase","Significant Increase","No Significant Change","all","all","37","1Month2MonthUS"
"US","US-US","","","2018","5","2018","6","3.65","8.61","6.31","5.03","TRUE","TRUE","TRUE","FALSE","Significant Increase","Significant Increase","Significant Increase","No Significant Change","all","all","37","1Month2MonthUS"
"US","US-US","","","2018","6","2018","7","-0.06","-2.89","-3.42","-1.52","FALSE","TRUE","TRUE","FALSE","No Significant Change","Significant Decrease","Significant Decrease","No Significant Change","all","all","37","1Month2MonthUS"
"US","US-US","","","2018","7","2018","8","2.28","3.67","5.11","5.58","TRUE","TRUE","TRUE","FALSE","Significant Increase","Significant Increase","Significant Increase","No Significant Change","all","all","37","1Month2MonthUS"
"US","US-US","","","2018","8","2018","9","-4.16","-7.28","-8.82","-7.04","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","37","1Month2MonthUS"
"US","US-US","","","2018","9","2018","10","-2.13","-1.04","-4.7","-8.49","TRUE","FALSE","TRUE","TRUE","Significant Decrease","No Significant Change","Significant Decrease","Significant Decrease","all","all","37","1Month2MonthUS"
"US","US-US","","","2018","10","2018","11","-1.02","-2.11","-6.02","3.89","FALSE","FALSE","TRUE","FALSE","No Significant Change","No Significant Change","Significant Decrease","No Significant Change","all","all","36","1Month2MonthUS"
"US","US-US","","","2018","11","2018","12","-7.5","-5.85","-6.69","-3.81","TRUE","TRUE","TRUE","FALSE","Significant Decrease","Significant Decrease","Significant Decrease","No Significant Change","all","all","37","1Month2MonthUS"
"US","US-US","","","2018","12","2019","1","-1.3","-4.41","-7.25","-1.38","FALSE","TRUE","TRUE","FALSE","No Significant Change","Significant Decrease","Significant Decrease","No Significant Change","all","all","37","1Month2MonthUS"
"US","US-US","","","2019","1","2019","2","3.76","6.82","6.55","8.35","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","37","1Month2MonthUS"
"US","US-US","","","2019","2","2019","3","0.7","2.92","4.15","4.59","FALSE","TRUE","TRUE","FALSE","No Significant Change","Significant Increase","Significant Increase","No Significant Change","all","all","38","1Month2MonthUS"
"US","US-US","","","2019","3","2019","4","4.99","5.1","5.48","5.58","TRUE","TRUE","TRUE","FALSE","Significant Increase","Significant Increase","Significant Increase","No Significant Change","all","all","38","1Month2MonthUS"
"US","US-US","","","2019","4","2019","5","4.95","6.43","7.4","3.17","TRUE","TRUE","TRUE","FALSE","Significant Increase","Significant Increase","Significant Increase","No Significant Change","all","all","39","1Month2MonthUS"
"US","US-US","","","2019","5","2019","6","3.76","6.24","7.46","8.72","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","all","all","40","1Month2MonthUS"
"US","US-US","","","2019","6","2019","7","-0.53","0.6","-1.43","-5.03","FALSE","FALSE","FALSE","FALSE","No Significant Change","No Significant Change","No Significant Change","No Significant Change","all","all","40","1Month2MonthUS"
"US","US-US","","","2019","7","2019","8","3.33","5.43","4.93","5.1","TRUE","TRUE","TRUE","FALSE","Significant Increase","Significant Increase","Significant Increase","No Significant Change","all","all","41","1Month2MonthUS"
"US","US-US","","","2019","8","2019","9","-4.21","-6.79","-8.23","-6.14","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","41","1Month2MonthUS"
"US","US-US","","","2019","9","2019","10","-0.33","0.6","-3.01","-1.81","FALSE","FALSE","FALSE","FALSE","No Significant Change","No Significant Change","No Significant Change","No Significant Change","all","all","42","1Month2MonthUS"
"US","US-US","","","2019","10","2019","11","-1.76","-2.3","-3.85","-8.87","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","1Month2MonthUS"
"US","US-US","","","2019","11","2019","12","-6.77","-4.97","-6.37","0.42","TRUE","TRUE","TRUE","FALSE","Significant Decrease","Significant Decrease","Significant Decrease","No Significant Change","all","all","42","1Month2MonthUS"
